supply_id,material_id,quantity,factory_id,reposition,leadtime,discontinued,inventory_centre_id,should_sell,material_localization_id,material_name
6.121,2.546,0,4,FALSE,10,FALSE,11,TRUE,,Pencil Bag Estojo College G Floral Lines
19.379,7.987,0,4,FALSE,10,FALSE,10,TRUE,,Copo Ebook 360 Life Rosa Claro / Copo Life 1180ml - Ebook.
21.572,8.593,0,4,FALSE,10,FALSE,11,TRUE,,Mala Joy CD Mala Joy Verde Militar - Waitlist / Mala Joy CH
18.293,7.648,0,4,FALSE,10,FALSE,10,TRUE,,Tampa CD Fresh Azul Claro / Tampa Fresh Checkbox
21.617,8.608,1.787,4,FALSE,10,FALSE,11,TRUE,,Tote Bag CD Mini Tote Off White / Mini Tote - NFC
16.471,7.011,494,4,FALSE,10,FALSE,10,TRUE,,Garrafa Turquesa v3 - NFC / Garrafa Térmica Fresh 650ml
18.977,5.681,0,4,FALSE,10,FALSE,33,TRUE,,Case Anti Impacto Slim Air / iPhone 13/14
19.474,6.616,0,4,FALSE,10,FALSE,33,TRUE,,Garrafa Turquesa - 360º / Garrafa Térmica Fresh 950ml
21.573,8.593,0,4,FALSE,10,FALSE,10,TRUE,,Mala Joy CD Mala Joy Verde Militar - Waitlist / Mala Joy CH
7.728,4.217,0,4,FALSE,10,FALSE,11,TRUE,,Case Anti Impacto Slim Standard / Realme 7 Pro
18.295,7.649,0,4,FALSE,10,FALSE,10,TRUE,,Tampa CD Fresh Azul Marinho / Tampa Fresh Checkbox
18.370,7.357,0,4,FALSE,10,FALSE,33,TRUE,,Garrafa Branca 360º urban / Urban 500ml - NFC
19.383,7.985,0,4,FALSE,10,FALSE,10,TRUE,,Copo Ebook 360 Life Off White / Copo Life 1180ml - Ebook.
21.243,5.029,47,4,FALSE,10,FALSE,43,TRUE,,Case Anti Impacto Slim Standard / Xiaomi MI 11 LITE 5G
13.762,4.499,440,4,FALSE,10,FALSE,23,TRUE,,Case Anti Impacto Slim Standard / Motorola Moto G10/G20/G30
21.574,8.595,0,4,FALSE,10,FALSE,11,TRUE,,Mala Joy CD Mala Joy Azul Marinho - Waitlist / Mala Joy CH
14.604,5.977,0,4,FALSE,10,FALSE,11,TRUE,,Garrafa Garrafa Fresh Rosa / Garrafa Térmica Fresh 950ml
18.628,7.775,79,4,FALSE,10,FALSE,11,TRUE,,Copo 360º Vinho- Vibe 470ml / Vibe 470ml
19.385,7.984,0,4,FALSE,10,FALSE,10,TRUE,,Copo Ebook 360 Life Laranja / Copo Life 1180ml - Ebook.
19.386,7.900,0,4,FALSE,10,FALSE,10,TRUE,,Copo 360 Life Pink / Copo Life 1180ml
18.296,7.650,0,4,FALSE,10,FALSE,11,TRUE,,Tampa CD Fresh Lilás / Tampa Fresh Checkbox
18.297,7.650,0,4,FALSE,10,FALSE,10,TRUE,,Tampa CD Fresh Lilás / Tampa Fresh Checkbox
21.181,8.463,0,4,FALSE,10,FALSE,11,TRUE,,Tampa Copo Tampa Hanger Copo Life Rosa Claro
18.299,7.651,1,4,FALSE,10,FALSE,10,TRUE,,Tampa CD Fresh Melancia / Tampa Fresh Checkbox
21.575,8.595,0,4,FALSE,10,FALSE,10,TRUE,,Mala Joy CD Mala Joy Azul Marinho - Waitlist / Mala Joy CH
21.182,8.463,0,4,FALSE,10,FALSE,10,TRUE,,Tampa Copo Tampa Hanger Copo Life Rosa Claro
5.469,1.420,0,4,FALSE,10,FALSE,10,TRUE,,Necessaire Necessaire Makeup Poeira das Estrelas
21.576,8.594,0,4,FALSE,10,FALSE,11,TRUE,,Mala Joy CD Mala Joy Azul Marinho / Alça Caramelo - Waitlist / Mala Joy CH
21.184,8.467,0,4,FALSE,10,FALSE,10,TRUE,,Tampa Copo Tampa Hanger Copo Life Lilás
19.389,7.982,0,4,FALSE,10,FALSE,10,TRUE,,Copo Ebook 360 Life Lilás / Copo Life 1180ml - Ebook.
17.767,7.452,0,4,FALSE,10,FALSE,11,TRUE,,Case Case Silicone Black / iPhone 12
19.391,7.944,0,4,FALSE,10,FALSE,10,TRUE,,Copo Ebook 360 Life Azul Claro / Copo Life 1180ml - Ebook.
12.833,5.639,0,4,FALSE,10,FALSE,10,TRUE,,Skin Nano HD Tech / Device Universal - Pelicula
20.461,7.143,60,4,FALSE,10,FALSE,11,TRUE,,Mala Joy CD Sarja Rosa / Mala Joy B2B
17.768,7.452,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 12
14.759,6.511,0,4,FALSE,10,FALSE,10,TRUE,,Gift Gift Soho Double - Minimal Black
21.577,8.594,0,4,FALSE,10,FALSE,10,TRUE,,Mala Joy CD Mala Joy Azul Marinho / Alça Caramelo - Waitlist / Mala Joy CH
19.393,7.943,0,4,FALSE,10,FALSE,10,TRUE,,Copo Ebook 360 Life Azul Marinho / Copo Life 1180ml - Ebook.
6.051,3.405,0,4,FALSE,10,FALSE,10,TRUE,,Case Anti Impacto Pro Fumê / iPhone 11 Pro Max
18.300,7.644,0,4,FALSE,10,FALSE,11,TRUE,,Tampa CD Fresh Branca / Tampa Fresh Checkbox
6.141,2.189,0,4,FALSE,10,FALSE,10,TRUE,,Powerbank Lid Powerbank Lid Pink
13.037,5.724,0,4,FALSE,10,FALSE,10,TRUE,,Case Duo Lilás Transparente / iPhone 12
17.769,7.448,0,4,FALSE,10,FALSE,11,TRUE,,Case Case Silicone Black / iPhone 11
6.365,1.483,0,4,FALSE,10,FALSE,11,TRUE,,Necessaire Necessaire Makeup Flores Rosê
17.770,7.448,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 11
11.771,5.154,2,4,FALSE,10,FALSE,10,TRUE,4.168,Case Case Slim Guard Clear / iPhone 13
19.395,7.942,0,4,FALSE,10,FALSE,10,TRUE,,Copo Ebook 360 Life Preto / Copo Life 1180ml - Ebook.
17.772,7.456,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 12 Pro
21.185,8.466,1.900,4,FALSE,10,FALSE,11,TRUE,,Tampa Copo Tampa Hanger Copo Life Branco
11.954,5.303,0,4,FALSE,10,FALSE,10,TRUE,,Case Anti Impacto Slim Rosa Melissa / iPhone 11
15.778,6.818,20,4,FALSE,10,FALSE,11,TRUE,,Mochila BTS Mochila Melancia / Mochila
21.578,8.596,0,4,FALSE,10,FALSE,11,TRUE,,Mala Joy CD Mala Joy Pink - Waitlist / Mala Joy CH
15.937,6.894,18,4,FALSE,10,FALSE,11,TRUE,,Garrafa Melancia 360º v3 / Garrafa Térmica Fresh 950ml
17.774,7.464,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 13 Pro Max
20.907,8.408,926,4,FALSE,10,FALSE,11,TRUE,,Travel Bag CD Bolsa Voyage Off White / Bolsa de Viagem Voyage - NFC
21.579,8.596,0,4,FALSE,10,FALSE,10,TRUE,,Mala Joy CD Mala Joy Pink - Waitlist / Mala Joy CH
17.776,7.460,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 13
17.773,7.464,0,4,FALSE,10,FALSE,11,TRUE,,Case Case Silicone Black / iPhone 13 Pro Max
21.187,8.465,1.900,4,FALSE,10,FALSE,11,TRUE,,Tampa Copo Tampa Hanger Copo Life Preto
17.778,7.477,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 14 Pro Max
21.580,8.597,0,4,FALSE,10,FALSE,11,TRUE,,Mala Joy CD Mala Joy Off / Alça Azul Marinho - Waitlist / Mala Joy CH
6.321,2.458,0,4,FALSE,10,FALSE,11,TRUE,,Backpack Mochila Color Preta
21.581,8.597,0,4,FALSE,10,FALSE,10,TRUE,,Mala Joy CD Mala Joy Off / Alça Azul Marinho - Waitlist / Mala Joy CH
18.301,7.644,0,4,FALSE,10,FALSE,10,TRUE,,Tampa CD Fresh Branca / Tampa Fresh Checkbox
6.371,2.730,0,4,FALSE,10,FALSE,11,TRUE,,Backpack Mochila Fun Classical Rose Black
6.401,3.890,0,4,FALSE,10,FALSE,10,TRUE,,Lunch Bag Lancheira Térmica Glam - Rostinhos
21.189,8.464,1.883,4,FALSE,10,FALSE,11,TRUE,,Tampa Copo Tampa Hanger Copo Life Off White
19.396,7.986,0,4,FALSE,10,FALSE,10,TRUE,,Copo Ebook 360 Life Branco / Copo Life 1180ml - Ebook.
19.084,4.412,5,4,FALSE,10,FALSE,42,TRUE,,Necessaire Necessaire Makeup Double - Mapa Mundi Rosa
21.582,8.598,0,4,FALSE,10,FALSE,11,TRUE,,Mala Joy CD Mala Joy Melancia - Waitlist / Mala Joy CH
21.583,8.598,0,4,FALSE,10,FALSE,10,TRUE,,Mala Joy CD Mala Joy Melancia - Waitlist / Mala Joy CH
21.584,8.599,0,4,FALSE,10,FALSE,11,TRUE,,Mala Joy CD Mala Joy Lilás - Waitlist / Mala Joy CH
17.780,7.468,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 14
9.961,5.106,0,4,FALSE,10,FALSE,10,TRUE,,Case Duo Lilás Tampa / iPhone 7 Plus
17.782,7.472,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 14 Pro
19.397,7.983,0,4,FALSE,10,FALSE,10,TRUE,,Copo Ebook 360 Life Pink / Copo Life 1180ml - Ebook.
6.212,2.069,0,4,FALSE,10,FALSE,10,TRUE,,Pencil Bag Estojo College G Primavera Vintage
19.083,6.467,0,4,FALSE,10,FALSE,42,TRUE,,NecessaireCD Rosa / Makeup Double
17.784,7.490,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 15 Pro Max
17.786,7.481,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 15
18.302,7.645,0,4,FALSE,10,FALSE,11,TRUE,,Tampa CD Fresh Preta / Tampa Fresh Checkbox
18.303,7.645,0,4,FALSE,10,FALSE,10,TRUE,,Tampa CD Fresh Preta / Tampa Fresh Checkbox
21.585,8.599,0,4,FALSE,10,FALSE,10,TRUE,,Mala Joy CD Mala Joy Lilás - Waitlist / Mala Joy CH
17.785,7.481,0,4,FALSE,10,FALSE,11,TRUE,,Case Case Silicone Black / iPhone 15
20.602,8.339,0,4,FALSE,10,FALSE,11,TRUE,,Garrafa Garrafa Térmica Fresh Amarela - WaitList / Garrafa Térmica Fresh 650ml
6.370,2.739,0,4,FALSE,10,FALSE,10,TRUE,,Backpack Mochila Fun Poeira das Estrelas
18.305,7.647,0,4,FALSE,10,FALSE,10,TRUE,,Tampa CD Fresh Turquesa / Tampa Fresh Checkbox
17.788,7.484,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Black / iPhone 15 Pro
20.603,8.339,0,4,FALSE,10,FALSE,10,TRUE,,Garrafa Garrafa Térmica Fresh Amarela - WaitList / Garrafa Térmica Fresh 650ml
21.586,8.600,0,4,FALSE,10,FALSE,11,TRUE,,Mala Joy CD Mala Joy Cinza - Waitlist / Mala Joy CH
12.437,5.591,0,4,FALSE,10,FALSE,10,TRUE,,Case Duo Azul / iPhone 6/7/8 Plus
20.605,8.340,0,4,FALSE,10,FALSE,10,TRUE,,Garrafa Garrafa Térmica Fresh Azul Royal - WaitList / Garrafa Térmica Fresh 650ml
21.587,8.600,0,4,FALSE,10,FALSE,10,TRUE,,Mala Joy CD Mala Joy Cinza - Waitlist / Mala Joy CH
20.607,8.341,0,4,FALSE,10,FALSE,10,TRUE,,Garrafa Garrafa Térmica Fresh Azul Petróleo - WaitList / Garrafa Térmica Fresh 650ml
15.341,6.731,0,4,FALSE,10,FALSE,11,TRUE,,Gift Gift Marmita Preta Black23
6.411,2.891,0,4,FALSE,10,FALSE,11,TRUE,,Case Silicone Pink / iPhone 11 Pro Max
7.547,4.171,0,4,FALSE,10,FALSE,11,TRUE,,Gift Gift Kit Limpador de Lentes + Lenço Mágico Laranja
17.790,7.455,0,4,FALSE,10,FALSE,10,TRUE,,Case Case Silicone Blue / iPhone 12 Pro
21.588,8.601,0,4,FALSE,10,FALSE,11,TRUE,,Mala Joy CD Mala Joy Chumbo - Waitlist / Mala Joy CH
